Date,Time,Sqn,TOTAL ABORT?,Target Location,Target Description,Target Type,"Raid=1, Alert=0",Summary Rec (T/F) or Comments,COM-PLETE,Bomb Wgt (LB),A/C Launched,ABORT WX,ABORT MECH,ABORT OTHR,DIVERT WX,DIVRT MECH,DIV DISOR,BOMB-ING,Miss- ing,FL-NO DAMAGE,FL-DAMAGE,Alt. (Feet),Rec #,Air Fight ?,A/C Type,T.O. Time,RTB Time,Bombing Time or Midpoint,Dura- tion (Hrs),Base,Distance From Base (Km),Killed,Woun-ded,Damage (Marks),Damage (Francs),# Bombs,Time Lost (Hours),Other Cost (Marks),Other Cost (Francs),Alternate Location Name,Raid or Alert Length (Hrs),"Page #, Maurer Maurer, v.IV, or other Reference",Comments,Chrono- logical Order
04Dec14,Day,MF29,,Fribourg-en-Brisgau,Rail Stn,,,6 shells dropped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Martel, p.23",,24
19Dec14,Day,MF29,,Fribourg-en-Brisgau,Rail Stn,,,"18 or 19 shells dropped - Martel says ""considerable damage"" with 13 bombs hitting objective",,,,,,,,,,,,,,2951,,,,,,,,,,,,,,,,,,,,"Martel, p.23,34",,25
19Dec14,0:00,,,Saarburg,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,10,0,,,Sarrebourg,,449,,26
20Dec14,Day,GB1,,Givenchy-en-Gohelle,Village,T,,"Mission 1015-1215 - 11 Voisins, 66 x 90mm shells.  Heavily shelled by AAA; 2 observers wounded. De Goys & his pilot chased an Aviatik & fired at it with a carbine.  CORRECT NAME OF BASE IS PRESUMABLY Saint-Pol-sur-Tenoise.",,1162,11,,,,,,,11,0,0,0,8202,,Yes,Voisin,,,,,St. Pol-en-Ternoise,30,,,,,66,,,,,,"Martel, p.36 & GB1 War Diary Images 0005-6",,27
20Dec14,Day,GB1,,Hénin-Liétard (near Lens),RR stn,R,,Afternoon raid. 12x90mm shells on target.  CORRECT NAME OF BASE IS PRESUMABLY Saint-Pol-sur-Tenoise.,,211,2,,,,,,,2,0,0,0,,,No,Voisin,,,,,St. Pol-en-Ternoise,45,,,,,12,,,,,,GB1 War Diary Image 0006,,28
23Dec14,,,,Dieuze,,,1,Salt factory damaged,,,,,,,,,,,,,,,,,,,,,,,,0,0,,300,1,,,,(S of Bensdorf),,448,,29
27Dec14,Day,MF25,,Rémilly-sur-Nied (Lorraine),HQ chateau,,,10 shells dropped,,,,,,,,,,,,,,,,,MF 7 or 11,,,,,Vauciennes,,,,,,,,,,,,"Martel, p.35",,30
18Jan15,Day,GB1/VB3,,St. Mihiel,Suburbs of town,T,,,,106,1,,,,,,,1,,,,,,No,Voisin,,,,,Toul,35,,,,,6,,,,,,GB1 War Diary Image 0008,,31
19Jan15,Day,Belfort Group,,Remingen,Troops,T,,D&S: Capt. Happe in M.F.7 destroyed balloon w/ MG & dropped 4000 flechettes on troops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
22Jan15,Day,GB1,,St.Mihiel (E of),Troop billets,T,,,,176,6,,,,,,,6,,,,,,No,Voisin,,,,,Verdun or Toul,,,,,,10,,,,,,GB1 War Diary Image 0008,,33
27Jan15,Day,GB1,,Chambley,German HQ,T,,"1 of 10 from Verdun reached target; nine could not climb above 1500 meters because of weather (and weak engines); 6x90mm bombs. Later mentions another plane, presumably an 11th, that had trouble and crashed from 600 meters.",,106,11,9,1,,,,,1,0,0,1,,,No,Voisin,,,,,Verdun or Toul,,,,,,6,,,,,,GB1 War Diary Images 0009-10,,34
27Jan15,Day,GB1/VB3,,Thiaucourt,,,,6 bombs - presumably 90mm and 1 plane,,106,,,,,,,,1,0,0,0,,,No,Voisin,,,,,Toul,30,,,,,6,,,,,,GB1 War Diary Image 0009,,35
28Jan15,Day,GB1,,Chambley; La Chaussee; Lamorville,German HQ; Air park; artillery,T,,"7 a/c total; War Diary is unclear - definitely 5 bombs each on air park and artillery, but text does not make it clear whether total was 18 or 28.  VERY strong wind - took 2 hours to reach objective and 12 minutes to get back!",,,7,,,,,,,,,,,,,Yes,Voisin,,,,,Verdun or Toul,,,,,,,,,,,,GB1 War Diary Image 0010,,36
28Jan15,Day,GB1/VB3,,Hendicourt &/or Varvinay,,,,2 reconnaissances & 1 bombardment; 6x90mm shells,,106,1,,,,,,,1,,,,,,No,Voisin,,,,,Toul,35,,,,,6,,,,,,GB1 War Diary Image 0010,,37
29Jan15,Day,GB1/VB3,,Pagny,Rail Stn,R,,6x90mm dropped; am assuming 1 plane,,106,,,,,,,,1,,,,,,No,Voisin,,,,,Toul,35,,,,,6,,,,,,GB1 War Diary Image 0010,,38
30Jan15,Day,GB1/VB3,,Pagny-sur-Moselle,Rail Stn,R,,Don't know # of a/c - probably 3 total for both raids - 14x90mm,,246,,,,,,,,,,,,,,No,Voisin,,,,,Toul,35,,,,,14,,,,,,GB1 War Diary Image 0010,,39
30Jan15,Day,GB1/VB3,,Chambley,Rail Stn,R,,Don't know # of a/c - probably 3 total for both raids - 3x90mm,,53,,,,,,,,,,,,,,No,Voisin,,,,,Toul,40,,,,,3,,,,,,GB1 War Diary Image 0010,,40
02Feb15,Day,GB1,,St. Maurice; Ville-sur-Iron,Artillery park; airfield,O,,"Morning raid. 9 a/c, 23x90mm bombs on St. Maurice",,,9,,,,,,,9,,,,,,No,Voisin,,,,,Verdun or Toul,,,,,,,,,,,,GB1 War Diary Image 0011,,41
02Feb15,Day,GB1/VB3,,Thiaucourt; Vilecey,,,,6x90mm on Thiaucourt; 3x90mm on Vilecey - # a/c unknown,,158,,,,,,,,,,,,,,No,Voisin,,,,,Toul,35,,,,,9,,,,,,GB1 War Diary Image 0011,,42
04Feb15,Day,GB1,,Spincourt,German HQ & RR stn,O,,Morning raid - 35x90mm bombs,,616,8,,,,,,,8,,,,,,No,Voisin,,,,,Verdun or Toul,,,,,,35,,,,,,GB1 War Diary Image 0011 & Martel 36,,43
04Feb15,Day,GB1,,Puxe (S of),Airfield,A,,Afternoon raid,,282,4,,,,,,,4,,,,,,No,Voisin,,,,,Verdun or Toul,,,,,,16,,,,,,GB1 War Diary Image 0011,,44
04Feb15,Day,GB1/VB3,,"Arnaville, Pagny, Château Salins",Auto Park; Rail Stn; HQ,T,,"19, 6, 17 x90mm shells on the 3 targets respectively. No a/c numbers given",,739,,,,,,,,,,,,,,No,Voisin,,,,,Toul,45,,,,,42,,,,,,GB1 War Diary Image 0012 & Martel 36,,45
04Feb15,Day,GB2 (original) VB4,,Flanders: Ghistelles & Ostend,Airfield & Harbor,,,,,,2,,,,,,,2,0,0,0,,,No,Voisin,,,,,St-Pol-sur-Mer,50,,,,,,,,,,,"Nilsson, OTF v.4, #3, p.235",,46
05Feb15,Day,GB1,,Avollers,Troop billets,T,,# Voisins not listed- 3?,,282,,,,,,,,,,,,,,No,Voisin,,,,,Verdun or Toul,,,,,,16,,,,,,GB1 War Diary Image 0012,,47
05Feb15,Day,GB1/VB3,,Réchicourt-le-Château,RR Stn,R,,# Voisins not listed- 2?,,211,,,,,,,,,,,,,,No,Voisin,,,,,Toul,70,,,,,12,,,,,,GB1 War Diary Image 0012,,48
05Feb15,Day,GB2 (orig.) VB4 & VB5,,Flanders: near Leffinghe,Suspected airfield,,,,,,2,,,,,,,2,0,0,1,,,No,Voisin,,,,,St-Pol-sur-Mer,45,,,,,,,,,,,"Nilsson, OTF v.4, #3, p.235",,49
11Feb15,Day,Belfort Group,,Bollarville or Bollweiler,RR stn,R,,D&S: Capt. Happe in M.F.7 fought off Aviatik. Martel: dropped 8x90mm on station,,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D&S & Martel, p.83",,50
15Feb15,Day,1Wing RNAS,,"Zeebrugge, Belgium",Submarine Base,,,"Date actually ""middle of"" Feb.",,,10,,,,,,,,,,,,,,,,,,,Dover (?),,,,,,,,,,,,AIR1/2107,,51
16Feb15,Day,GB2 (orig.) VB4 & VB5,,Flanders: Ghistelles,Airfield,A,,5 crews of VB4 & 3 of VB5,,,8,,,,,,,8,0,0,0,,,No,Voisin,,,,,St-Pol-sur-Mer,50,,,,,31,,,,,,"Nilsson, OTF v.4, #3, p.235",,52
20Feb15,Day,GB1,,"Somme-py, Montfauxelles, Vouziers, Termes",Rail stns & bridges,R,,"VBs 1, 2, 3 dropped bombs 1000-1100. Unknown # of Voisins; some could not get high enough to cross lines. Working to interdict German resupply by rail. Bombs: 16x90mm & 9x155mm long.",,1153,,,,,,,,,,,,,,No,Voisin,,,10:30,,Melette,50,,,,,25,,,,,,GB1 War Diary Images 0015-6,,53
21Feb15,Day,GB2 (orig.) VB4 & VB5,,Flanders: N of Brugges,Naval Station,T,,5 crews of VB4 & 2 of VB5,,70,7,6,,,,,,1,0,0,0,,,No,Voisin,,,,,St-Pol-sur-Mer,70,,,,,,,,,,,"Nilsson, OTF v.4, #3, p.235 & GB2 War Diary Image 0007",,54
24Feb15,Day,GB1,,"Bazancourt, Challerange, Pont-Faverger, Dontrien, d'Autry",RR stns,R,,"T.O.1015. # Voisins u/k; VB 1,2,3 participated. 15x90mm & 11x155mm long bombs",,1329,,,,,,,,,0,0,0,,,No,Voisin,10:15,,,,Melette,45,,,,,26,,,,,,GB1 War Diary Image 0017 & Martel 38,,55
25Feb15,Day,GB1,,Challerange - Pont Faverger (between),RR line - Dontrain stn; moving train,R,,3 of 7 a/c bombed targets with 4x155mm long bombs.,,387,7,4,,,,,,3,0,0,0,,,No,Voisin,,,,,Melette,40,,,,,4,,,,,,"GB1 War Diary Image 0019 & Nilsson, OTF, V.1,#4, pp.298-9",,56
25Feb15,,Fr.,,Metz & other places,"RR Stns, trains, troops",,,Metz - 3 bombs on barracks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Middleton, v.II, p.59",,57
26Feb15,Day,GB1,,Challerange; Bazancourt; St.Marie-à-Py,2 Rail Triangles; Train in stn,R,,4x155mm long on Challerage; 3x155mm long and 14x90mm on Bazancourt; 6x90mm on train in St.Marie-à-Py,,1514,7,,,,,,,7,0,0,0,,,,Voisin,,,,,Melette,45,,,,,32,,,,,,GB1 War Diary Images 0019-20,,58
? Mar 15,,Fr.&Br.,,"""near"" Dusseldorf","Depot - ammo, vehicles, petrol, engines, balloons",,,Combined French -British raid on u/k date - depot set afire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pearce, CCI V.22, #3, p.126",,59
02Mar15,Day,GB1,,Pont-Faverger to Sommepy,Rail Line & Stns,R,,"Hit Pont-Faverger, Bethienville, Dontrien, St.Souplet, Ste.Marie-à-Py, Sommepy. High winds kept 7 from crossing lines. Dropped 44x90 retardés. Map on image.",,774,13,7,,,,,,6,0,0,0,,,No,Voisin,,,,,Melette,35,,,,,44,,,,,,GB1 War Diary Image 0021,,60
03Mar15,Day,Belfort Group,,Rothweil,Gunpowder Factory,M,,"D&S: factory bombed this date ""with devastating effectiveness""; Martel: Happe dropped 4x90mm shells",,70,,,,,,,,1,,,,4918,,,,,,,,,,,,,,,,,,,,"D&S & Martel,83",,61
04Mar15,Day,GB1,,Dontrien - Ardeuil,Rail targets,R,,Mission to hinder rail traffic from Bazancourt to Challerange - dropped 95x90mm retardés on rail stations and rail tunnel. Map on Image 0022.,,1672,14,,,,,,,14,0,0,0,,,No,Voisin,,,,,Melette,25,,,,,95,,,,,,"GB1 War Diary image 0023 & Martel, p.38",,62
06Mar15,Day,Belfort Group,,Rothweil,Gunpowder Factory,M,,D&S: Capt. Happe returned in his M.F.7 to bomb again - are all 3 dates correct??,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63
07Mar15,Day,1Wing RNAS,,"Ostend, Belgium",Submarine Base,,,,,,6,,,,,,,,,,,,,,,,,,,Dunkerque,45,,,,,,,,,,,AIR1/2107,,64
09Mar15,Day,GB1,,Ferme (Farm) Chausson; Fontaine-en-Dormois,Artillery; Troop Billets,T,,"At 0800, an u/k # of Voisins took off in high winds; 7 made it across the lines to attack artillery batteries that French artillery could not reach.",,528,,,,,,,,7,0,1,0,,,No,Voisin,8:00,,,,Melette,35,,,,,30,,,,,,GB1 War Diary Images 0024-6,,65
09Mar15,12:30,GB2 (orig.) VB4 & VB5,,Flanders: Gits; Slype & Beerst,Gits airfield; Artillery Batteries,T,,TRUE,TRUE,264,7,2,2,,2,,,3,0,0,0,7874,,No,Voisin,11:15,,,,St-Pol-sur-Mer,55,,,,,5,,,,,,"GB2 War Diary, Image 0008",Time est.; T.O. @ 1115,66
09Mar15,12:30,GB2 (orig.) VB4 & VB5,,Flanders: Gits,Gits airfield,A,,FALSE,FALSE,88,,,,,,,,1,0,1,0,7874,,No,Voisin,11:15,,,,St-Pol-sur-Mer,55,,,,,5,,,,,,"GB2 War Diary, Image 0008",Time est.; T.O. @ 1115,66.5
09Mar15,12:30,GB2 (orig.) VB4 & VB5,,Flanders: Slype & Beerst,Artillery batteries,T,,FALSE,FALSE,176,,,,,2,,,2,0,0,0,7874,,No,Voisin,11:15,,,,St-Pol-sur-Mer,40,,,,,,,,,,,"GB2 War Diary, Image 0008",Time est.; T.O. @ 1115,67
10Mar15,Day,GB1,Y,U/K,German Rail Lines,R,,Clouds at 1400 meters caused abort of mission,,0,13,13,,,,,,,0,0,0,,,No,Voisin,,,,,Melette,,,,,,,,,,,,GB1 War Diary Image 0026,,68
12Mar15,Day,1Wing RNAS,,Middlekerke,,,,,,,6,,,,,,,,,,,,,,,,,,,Dunkerque,35,,,,,,,,,,,AIR1/2107,,69
12Mar15,Day,GB1,,Bois (Wood) Chausson,Artillery,T,,T.O. 1300. 1 crew got through rain & snow to target.,,106,13,12,,,,,,1,0,0,0,,,No,Voisin,13:00,,,,Melette,30,,,,,6,,,,,,GB1 War Diary Image 0027,,70
12Mar15,,Fr.,,Rottweil,Powder Magazine,,,Target blown up (14 mi N of Donaueschingen),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Middleton, v.II, p.59",,71
13Mar15,Day,GB1,,Bois (Wood) Chausson,Artillery,T,,T.O.1500. Map Image 0026.,,1566,14,,,,,,,14,0,0,0,,,Yes,Voisin,15:00,,,,Melette,30,,,,,89,,,,,,GB1 War Diary Images 0026-8,,72
15Mar15,Day,GB1,,La Butte du Mesnil,Artillery,T,,Bombing at 1500 to support 16eme Corps attack on Bois de Mesnil. Very cloudy. 51x90mm retardés. Map on Image 0028.,,898,20,14,,,,,,6,0,0,0,,,No,Voisin,,,15:00,,Melette,30,,,,,51,,,,,,GB1 War Diary Images 0028-9,,73
17Mar15,Day,GB1,,"Maison de Champagne, Bois Mesnil, Bois Chausson, Ripont, Rouvroy, Cernay-en-Dormois, Fontaine-en-Dormois",Artillery & Troop Billets,T,,"T.O. 1330, 1600; same support as previous day",,1901,16,,,,,,,16,0,0,0,,,No,Voisin,13:30,,,,Melette,35,,,,,108,,,,,,GB1 War Diary Images 0030-1,,74
17Mar15,,Fr.,,"Bazancourt, Altkirch, Cernay, Mulheim, Anizy, Chauny, Tergnier, Couchy le Chateau",Rail stns & Mulheim barracks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Middleton, v.II, p.59",,75
18Mar15,,Fr.,,Pont Faverges,Aerodrome & ammo store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Middleton, v.II, p.59",,76
18Mar15,Day,GB1,,Challerange,Rail jtn,R,,T.O.1700. Original mission was artillery at Maison-en-Champagne. 6 planes could not cross lines due to high winds and clouds; 1 bombed alternate target. Am ESTIMATING 6x90mm shells since this has been standard for these missions at this time.,,106,7,6,,,1,,,1,0,0,0,,,No,Voisin,17:00,,,,Melette,40,,,,,6,,,,,,GB1 War Diary Images 0031-2,,77
18Mar15,,Fr.,,Freiburg,RR Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Middleton, v.II, p.59",,78
18Mar15,Day,GB1,,Maison de Champagne,Artillery,T,,T.O.0900. Continued support for 16th Corps. Map (Image 0033) shows Ripont & Somme-py also bombed as part of this operation.,,704,7,,,,,,,7,0,0,0,,,No,Voisin,9:00,,,,Melette,,,,,,40,,,,,,GB1 War Diary Images 0032-34,,79
20Mar15,Day,GB1,,"Pont-Faverger, Betheniville, Gratreuil, Sechault, Ardeuil",Troop billets,T,,T.O. 0800. Mission was also to interdict enemy planes - 4 fled w/o fighting. Under orders of 4th Armee.,,1408,13,,,,,,,13,0,0,0,,,No,Voisin,8:00,,,,Melette,35,,,,,80,,,,,,GB1 War Diary Image 0034,,80
20Mar15,Day,GB3,,"Altkirch, Mulheim",RR stns,R,,D&S: GB3's 1st combat mission - flew Voisin 3's -- Martel (p.42) says this raid was on 21 March,,,,,,,,,,,,,,,,,Voisin,,,,,,,,,,,,,,,,,D&S,,81
21Mar15,Day,"GB2 (orig.) VB104,105,106",,Flanders: Gits,Airfield,A,,VB104: 4 crews; VB105: 1; VB106: 3 -- 1 crew diverted due to high winds and bombed other targets - 20x90mm shells on Gits aerodrome,,440,8,,,2,1,,,6,0,0,0,,,No,Voisin,,,,,St-Pol-sur-Mer,55,,,,,20,,,,,,"Nilsson, OTF v.4, #3, p.236 & GB2 War Diary Images 10-11",,82
22Mar15,Day,GB1,,Conflans-en-Jarnisy; Etain,RR Stns,R,,1st day based at Malzeville - 39 bombs from 1700-1740 - 8x155mm allongués & 31x90mm retardés on Conflans; 1x155 on Etain (not clear why this Voisin diverted). 8 landed at other airfields by the light of landing fires.,,1417,14,,,,,,,14,0,8,0,,,No,Voisin,,,17:20,,Malzéville,55,,,,,40,,,,,,"GB1 War Diary Images 0036-7 & Martel, 47",,83
22Mar15,Day,GB3,,Fribourg-en-Brisgau,RR Stn,R,,"1 plane ""catches fire"" and crew POWs",,,,,,,,,,,1,,,,,,Voisin,,,,,,,,,,,,,,,,,"Martel,42",,84
22Mar15,Day,GB2 (orig.),,Flanders: Ypres-Roulers,Railway,R,,"Assigned target (airfield S. of Roulers) never found - 1 crew dropped 6 bombs on rail line, which I assume are 90mm.  T.O. 0820. War Diary doesn't mention whether 2 crews in air fights dropped bombs.",,106,9,2,4,,,,,1,0,0,0,,,Yes,,8:20,,,,,,,,,,6,,,,,,"Nilsson, OTF v.4, #3, p.236 & GB2 War Diary Images 11-12",,85
22Mar15,,Fr.,,Villers-Cotterets,U/K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Middleton, v.II, p.59",,86
22Mar15,,Fr.,,Briey,RR stn & lines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Middleton, v.II, p.64",,87
24Mar15,Day,1Wing RNAS,,"Hoboken?, Antwerp",Submarine Yard,,,"Slips burnt, 1 sub destroyed, 3 subs damaged",,,3,,,,,,,,,,,,,,,,,,,Dunkerque,145,,,,,,,,,,,AIR1/2107,,88
